ID,FIELD_INFO_ID,PARENT_ID,FIELD_NAME_EN,FIELD_NAME_CN,TABLE_NAME,FIELD_TYPE,FIELD_LENGHT,IS_NOT_NULL,REMARK,PURPOSE,DATA_SRC,IS_MULTIPLE,ORDER_FIELD_NAME_EN
10336,1,0,EVENT_ID,事件ID,mw_em_master,1,100,0,long,",WARNING,",system,0,
10337,2,0,EVENT_STANDARD_ID,事件编码,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10338,3,0,PROVINCE_NAME,省份,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",system,0,
10339,4,0,PROVINCE_ID,省份ID,mw_em_master,1,10,1,int,",WARNING,",pubevent_1407,0,
10340,5,0,CITY_NAME,地市,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",system,0,
10341,6,0,CITY_ID,地市ID,mw_em_master,1,10,1,int,",WARNING,",pubevent_1407,0,
10342,7,0,COUNTY_NAME,区县,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",system,0,
10343,8,0,COUNTY_ID,区县ID,mw_em_master,1,10,1,int,",WARNING,",pubevent_1407,0,
10344,9,0,FULL_REGION_NAME,完整区域名称,mw_em_master,0,200,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10346,11,0,NETWORK_TYPE_ID,一级专业ID,mw_em_master,5,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10347,12,0,NETWORK_TYPE_NAME,事件专业,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",system,0,
10348,13,0,NETWORK_SUB_TYPE_ID,二级专业,mw_em_master,5,100,1,keyword,",EVENT-LIST,",pubevent_1407,0,
10349,14,0,NETWORK_SUB_TYPE_NAME,二级专业,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10350,15,0,EVENT_TYPE_ID,事件类型,mw_em_master,5,50,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10351,16,0,EVENT_SUB_TYPE,事件子类型,mw_em_master,0,50,1,keyword,",EVENT-LIST,WARNING,",pubevent_1407,0,
10352,17,0,EVENT_NAME,事件名称,mw_em_master,0,2000,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10353,18,0,EVENT_LEVEL,事件等级,mw_em_master,5,1,1,int,",EVENT-LIST,WARNING,",pubevent_1407,0,
